epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.103,0.99729,2.01107,1.4194,0.00616,0.95652,0.56108,0.25517,1.25988,3.38939,2.20877,0.00058,0.00058,0.00058
2,268.175,1.0179,1.56479,1.43246,0.56041,0.43478,0.55257,0.32265,1.18501,2.92906,1.96999,0.00115664,0.00115664,0.00115664
3,519.962,1.07014,1.50852,1.45558,0.38758,0.45652,0.32442,0.16039,1.62738,2.88197,2.11684,0.00170951,0.00170951,0.00170951
4,689.421,1.06192,1.38119,1.43835,0.26613,0.41304,0.29487,0.10237,1.84191,3.49135,2.76111,0.0018812,0.0018812,0.0018812
5,908.639,1.05387,1.31735,1.44823,0.24836,0.6087,0.2373,0.11228,1.88632,4.63706,2.81153,0.0018416,0.0018416,0.0018416
6,1138.08,1.04683,1.2997,1.41713,0.43247,0.36957,0.33238,0.14256,1.91575,2.41655,2.56243,0.001802,0.001802,0.001802
7,1365.2,0.99167,1.11722,1.38222,0.68252,0.56092,0.61437,0.47976,0.99779,1.83021,1.54676,0.0017624,0.0017624,0.0017624
8,1612.2,1.00865,1.08061,1.39678,0.66988,0.67391,0.68823,0.46894,1.11009,1.68297,1.7125,0.0017228,0.0017228,0.0017228
9,1866.75,1.00483,1.07674,1.39567,0.73186,0.71739,0.68874,0.42199,1.07013,1.64199,1.6699,0.0016832,0.0016832,0.0016832
10,2137.1,0.97254,0.98754,1.37184,0.69104,0.48639,0.63091,0.43015,1.0703,1.62102,1.5411,0.0016436,0.0016436,0.0016436
11,2273.86,0.95644,0.96637,1.33661,0.6689,0.65888,0.62849,0.35511,1.20389,1.6726,1.70446,0.001604,0.001604,0.001604
12,2383.37,0.8826,0.84108,1.31156,0.75372,0.66543,0.73487,0.48752,1.10499,1.47274,1.55823,0.0015644,0.0015644,0.0015644
13,2494.36,0.9121,0.88299,1.29512,0.81134,0.84149,0.89052,0.68153,0.85249,1.04938,1.43482,0.0015248,0.0015248,0.0015248
14,2610.29,0.87773,0.82395,1.29552,0.67554,0.67391,0.73858,0.47429,1.15185,1.53417,1.74664,0.0014852,0.0014852,0.0014852
15,2726.58,0.86976,0.83053,1.26753,0.88831,0.69565,0.84808,0.54744,1.18557,1.12696,1.69658,0.0014456,0.0014456,0.0014456
16,2842.91,0.86427,0.81806,1.28624,0.82304,0.73913,0.7816,0.59073,1.1465,1.09829,1.70963,0.001406,0.001406,0.001406
17,2994.65,0.8683,0.781,1.27102,0.77719,0.68258,0.79394,0.56778,0.9706,1.29916,1.55105,0.0013664,0.0013664,0.0013664
